國立臺灣體育運動大學,04-2221-3108 #2002,04-2223-2463,40404 臺中市北區雙十路1段16號,http://www.ntupes.edu.tw,臺體、台體大、台灣體大
國立屏東商業技術學院,08-723-8700,08-723-8720,90004 屏東市民生東路51號,http://www.npic.edu.tw/,屏商院、屏商技
國立臺中科技大學,04-2219-5678,04-2219-5011,40401 臺中巿北區三民路三段129號,http://www.nutc.edu.tw/,中科大
國立臺北商業技術學院,02-2393-5263,02-2322-6009,10051 臺北市中正區濟南路一段321號,http://www.ntcb.edu.tw,北商
國立臺灣戲曲學院,02-2796-2666,02-2794-1529,11464 臺北市內湖區內湖路二段177號,http://www.tcpa.edu.tw,戲曲學院、臺戲學院
國立空中大學,02-2282-9355,02-8281-3274,24701 新北市蘆洲區中正路 172 號,http://www.nou.edu.tw/,空大
東海大學,04-2359-0121 #30009,04-2350-0847,40704 臺中市西屯區臺灣大道4段1727號,http://www.thu.edu.tw,東海
輔仁大學,02-2905-2000,02-2903-9809,24205 新北市新莊區中正路510號,http://www.fju.edu.tw,輔大
東吳大學,02-2881-9471 #5413,02-2882-9310,11102 臺北市士林區臨溪路70號,http://www.scu.edu.tw,東吳
中原大學,03-265-9999,03-265-8888,32023 桃園縣中壢市中北路200號,http://www.cycu.edu.tw,中原
淡江大學,02-2621-5656 #2356,02-2622-3204,25137 新北市淡水區英專路151號,http://www.tku.edu.tw,淡江、淡大
中國文化大學,02-2861-0511,02-2861-5031,11114 臺北市士林區華岡路55號,http://www.pccu.edu.tw,文大
逢甲大學,04-2451-7250,04-2451-0081,40724 臺中市西屯區文華路100號,http://www.fcu.edu.tw/wsite/mp?mp=1,逢甲、逢大
靜宜大學,04-2632-8001 #11003,04-2631-1170,"43301 臺中市沙鹿區中棲路200號\,(臺中市沙鹿區臺灣大道7段200號)",http://www.pu.edu.tw,靜宜
長庚大學,03-211-8800,03-211-8700,33302 桃園縣龜山鄉文化一路259號,http://www.cgu.edu.tw,長庚
元智大學,03-463-8800,03-463-8900,32003 桃園縣中壢市遠東路135號,http://www.yzu.edu.tw,元智
中華大學,03-537-4281,03-537-3771,30012 新竹市東香里六鄰五福路2段707號,http://www.chu.edu.tw,（無）
大葉大學,04-851-1888 #1006,04-851-1666,51591 彰化縣大村鄉學府路168號,http://www.dyu.edu.tw,（無）
華梵大學,02-2663-2102,02-2663-3234,22301 新北市石碇區華梵路1號,http://www.hfu.edu.tw,華梵
義守大學,07-657-7711,07-657-7056,84001 高雄市大樹區學城路1段1號,http://www.isu.edu.tw,義大
世新大學,02-2236-8225 #2004,02-2236-5133,11604 臺北市文山區木柵路1段17巷1號,http://www.shu.edu.tw,世新
銘傳大學,02-2882-4564,02-2882-0521,11103 臺北市士林區中山北路5段250號,http://www.mcu.edu.tw,銘傳
實踐大學,02-2538-1111,02-2533-6293,10462 臺北市中山區大直街70號,http://www.usc.edu.tw,實踐
朝陽科技大學,04-2332-3000,04-2332-9898,41349 臺中市霧峰區吉峰東路168號,http://www.cyut.edu.tw/,朝陽科大、朝科大
高雄醫學大學,07-312-1101,07-321-2062,80708 高雄市三民區十全一路100號,http://www2.kmu.edu.tw,高醫大、高醫
南華大學,05-272-1001,05-242-7147,62248 嘉義縣大林鎮中坑里10鄰南華路1段55號,http://www.nhu.edu.tw,（無）
真理大學,02-2621-2121 #1101,02-2623-5533,25103 新北市淡水區真理街32號,http://www.au.edu.tw,（無）
大同大學,02-2182-2928,02-2595-2109,10452 臺北市中山北路3段40號,http://www.ttu.edu.tw,（無）
南臺科技大學,06-253-3131,06-254-3031,71005 臺南市永康區南臺街1號,http://www.stust.edu.tw,南臺科大
崑山科技大學,06-272-7175,06-272-8944,71003 臺南市永康區大灣路949號,http://www.ksu.edu.tw/,崑山科大、崑科大
嘉南藥理科技大學,06-266-4911,06-266-8920,71710 臺南市仁德區二仁路一段60號,http://www.chna.edu.tw/,嘉藥、嘉南藥理科大、嘉藥科大
樹德科技大學,07-615-8000,07-615-8999,82445 高雄市燕巢區橫山路59號,http://www.stu.edu.tw,樹德科大、樹科大
慈濟學校財團法人慈濟大學,03-856-5301,03-856-2500,97004 花蓮市中央路3段701號,http://www.tcu.edu.tw,慈大
臺北醫學大學,02-2736-1661 #2016,02-2378-7795,11031 臺北市信義區吳興街250號,http://www.tmu.edu.tw,北醫、臺北醫大
中山醫學大學,04-2473-0022 #11012,04-2475-9950,40201 臺中市南區建國北路1段110號,http://www.csmu.edu.tw,中山醫大、中山醫
龍華科技大學,02-8209-3211,02-8209-1476,33306 桃園縣龜山鄉萬壽路一段300號,http://www.lhu.edu.tw/,龍華科大、龍科大
輔英科技大學,07-781-1151,07-782-6146,83102 高雄市大寮區進學路151號,http://www.fy.edu.tw/,輔英、輔英科大
明新科技大學,03-559-3142 #2120,03-559-5142,30401 新竹縣新豐鄉新興路1號,http://www.must.edu.tw/,明新科大
長榮大學,06-278-5123,06-278-5555,71101 臺南市歸仁區長大路1號,http://www.cjcu.edu.tw,（無）
弘光科技大學,04-2631-8652,04-2631-0744,43302 臺中市沙鹿區臺灣大道六段1018號,http://www.hk.edu.tw/,弘光科大
中國醫藥大學,04-2205-3366 #1013,04-2206-0248,40402 臺中市北區學士路91號,http://www.cmu.edu.tw,中國醫、中醫大、中醫
健行學校財團法人健行科技大學,03-458-1196 #9,無,32097 桃園縣中壢市健行路229號,http://www.uch.edu.tw/,健行科大
正修科技大學,07-735-8800,07-731-5367,83347 高雄市鳥松區澄清路840號,http://www.csu.edu.tw/,正修科大
萬能學校財團法人萬能科技大學,03-451-5811,03-451-3786,32061 桃園縣中壢市萬能路1號,http://www.vnu.edu.tw/,萬能科大
玄奘大學,03-530-2255,03-539-7400,30092 新竹市香山區玄奘路48號,http://www.hcu.edu.tw,玄大
建國科技大學,04-711-1111,04-711-1171,50094 彰化縣彰化市介壽北路1號,http://www.ctu.edu.tw/,建國科大
明志科技大學,02-2908-9899,02-2904-1914,24301 新北市泰山區貴子里工專路84號,http://www.mcut.edu.tw/,明志科大
高苑科技大學,07-607-7868,07-607-7877,82151 高雄市路竹區中山路1821號,http://www.kyu.edu.tw/,高苑科大
大仁科技大學,08-762-4002,08-762-3924,90741 屏東縣鹽埔鄉維新路20號,http://www.tajen.edu.tw/,大仁科大
聖約翰科技大學,02-2801-3131,02-2801-3021,25135 新北市淡水區淡金路四段499號,http://www.sju.edu.tw/,聖約翰科大
嶺東科技大學,04-2839-2088,04-2389-5293,40852 臺中市南屯區嶺東路1號,http://www.ltu.edu.tw/,嶺東科大
中國科技大學,02-2931-3416,02-8931-8847,11695 臺北市文山區興隆路三段56號,http://www.cute.edu.tw/,中國科大
中臺科技大學,04-2239-1647 #2101,04-2239-5751,40601 臺中市北屯區?子路666號,http://www.ctust.edu.tw/,中臺科大
亞洲大學,04-2332-3456,04-2331-6699,41354 臺中市霧峰區柳豐路500號,http://www.asia.edu.tw,亞大
開南大學,03-341-2500 #1202,03-341-3253,33857 桃園縣蘆竹鄉開南路1號,http://www.knu.edu.tw,開南
佛光大學,03-987-1000 #11541,03-987-4806,26247 宜蘭縣礁溪鄉林美村林尾路160號,http://www.fgu.edu.tw,佛大
台南家專學校財團法人台南應用科技大學,06-253-2106 #259,06-254-9527,71002 臺南市永康區中正路529號,http://www.tut.edu.tw/,台南科大、台南應大、南應大
